"","moduleLabel","moduleColor","ensembl_id_TH","ensembl_id","entrez"
"SBDS",0,"grey","ENSG00000126524.9","ENSG00000126524",51119
"SBDSP1",0,"grey","ENSG00000225648.5","ENSG00000225648",155370
"SBF1",0,"grey","ENSG00000100241.20","ENSG00000100241",6305
"SBF2",0,"grey","ENSG00000133812.14","ENSG00000133812",81846
"SBF2-AS1",0,"grey","ENSG00000246273.6","ENSG00000246273",283104
"SBK1",0,"grey","ENSG00000188322.4","ENSG00000188322",388228
"SBK2",0,"grey","ENSG00000187550.8","ENSG00000187550",646643
"SBK3",0,"grey","ENSG00000231274.5","ENSG00000231274",100130827
"SBNO1",6,"red","ENSG00000139697.11","ENSG00000139697",55206
"SBNO2",0,"grey","ENSG00000064932.15","ENSG00000064932",22904
"SBSN",0,"grey","ENSG00000189001.10","ENSG00000189001",374897
"SBSPON",0,"grey","ENSG00000164764.10","ENSG00000164764",157869
"SC5D",0,"grey","ENSG00000109929.9","ENSG00000109929",6309
"SCAF1",0,"grey","ENSG00000126461.14","ENSG00000126461",58506
"SCAF11",17,"grey60","ENSG00000139218.17","ENSG00000139218",9169
"SCAF4",18,"lightgreen","ENSG00000156304.14","ENSG00000156304",57466
"SCAF8",6,"red","ENSG00000213079.9","ENSG00000213079",22828
"SCAI",6,"red","ENSG00000173611.17","ENSG00000173611",286205
"SCAMP1",6,"red","ENSG00000085365.17","ENSG00000085365",9522
